host,country,isolation,collection_date
Homo sapiens,Colombia,,2016/12
Homo sapiens,Colombia,,2016/12
Homo sapiens,Honduras,placenta,2015/01/06
Homo sapiens,Mexico,,2016/06/23
Homo sapiens,Mexico,,2016/08/10
Homo sapiens,Mexico,,2016/08/22
Homo sapiens,Mexico,"kidney,abdominal cavity",2016/06/23
Homo sapiens,Nicaragua,,2016/07/10
Homo sapiens,Nicaragua,,2016/07/10
Homo sapiens,Nicaragua,,2016/04/22
Homo sapiens,Nicaragua,,2016/06/30
Homo sapiens,Nicaragua,,2016/06/30
Homo sapiens,Nicaragua,,2016/05/29
Homo sapiens,Nicaragua,,2016/06/29
Homo sapiens,Nicaragua,,2016/06/29
Homo sapiens,Nicaragua,,2016/07/07
Homo sapiens,Panama,"kidney,abdominal cavity",2016
Homo sapiens,Panama,"kidney,abdominal cavity",2015/12/11
Homo sapiens,Panama,"kidney,abdominal cavity",2015/12/18
Homo sapiens,Panama,"kidney,abdominal cavity",2015/12/18
Homo sapiens,Puerto Rico,"kidney,abdominal cavity",2015/12
Macaca mulatta,,,2015/07/07
Macaca mulatta,,,2015/07/07
Macaca mulatta,,,2015/07/07
Homo sapiens,Thailand,"kidney,abdominal cavity",2013/02/12
Homo sapiens,USA,blood,2016/01/01
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,,,1947
Macaca mulatta,Uganda,,1947/04/20
Homo sapiens,Italy,,2016/04
Homo sapiens,China,,2016/09
Homo sapiens,Cuba,brain,2017/02/12
Homo sapiens,Venezuela,mammalian milk,2016/03/25
Homo sapiens,Venezuela,blood,2016/03/25
Aedes aegypti,Haiti,,2016/06/27
Culicidae,Haiti,,2016/05/10
Homo sapiens,South Korea,sperm,2016/04/28
Homo sapiens,South Korea,sperm,2016/03/22
Homo sapiens,Brazil,,2015/03
